Ano;Semestre;Campus;Unidade Acadêmica;Curso;Modalidade;Formato;Tipo Evasão;Alunos
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTL;LICENCIATURA;PRESENCIAL;CANCELAMENTO;16
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS PORTUGUES-LTP;LICENCIATURA;PRESENCIAL;CANCELAMENTO;1
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;MATEMATICA-MTB;BACHARELADO;PRESENCIAL;CANCELAMENTO;8
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;MATEMATICA-MTL;LICENCIATURA;PRESENCIAL;CANCELAMENTO;9
2019;2;OURO PRETO;ESCOLA DE MEDICINA;MEDICINA-MED;BACHARELADO;PRESENCIAL;CANCELAMENTO;8
2019;2;OURO PRETO;"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";MUSEOLOGIA-MUL;BACHARELADO;PRESENCIAL;CANCELAMENTO;10
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";MUSICA-MUS;LICENCIATURA;PRESENCIAL;CANCELAMENTO;1
2019;2;OURO PRETO;ESCOLA DE NUTRICAO;NUTRICAO-NUT;BACHARELADO;PRESENCIAL;CANCELAMENTO;2
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;PEDAGOGIA-PED;LICENCIATURA;PRESENCIAL;CANCELAMENTO;10
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;QUIMICA INDUSTRIAL-QUI;BACHARELADO;PRESENCIAL;CANCELAMENTO;10
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;QUIMICA-QLI;LICENCIATURA;PRESENCIAL;CANCELAMENTO;7
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;SERVICO SOCIAL-SER;BACHARELADO;PRESENCIAL;CANCELAMENTO;11
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;SISTEMAS DE INFORMACAO-SJM;BACHARELADO;PRESENCIAL;CANCELAMENTO;5
2019;2;OURO PRETO;"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";TURISMO-TUR;BACHARELADO;PRESENCIAL;CANCELAMENTO;7
2019;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;ADMINISTRACAO PUBLICA-D06;BACHARELADO;DISTANCIA;DESLIGAMENTO;1
2019;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;GEOGRAFIA-D07;LICENCIATURA;DISTANCIA;DESLIGAMENTO;2
2019;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;MATEMATICA-D05;LICENCIATURA;DISTANCIA;DESLIGAMENTO;6
2019;2;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;PEDAGOGIA-D04;LICENCIATURA;DISTANCIA;DESLIGAMENTO;8
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;ADMINISTRACAO-ADM;BACHARELADO;PRESENCIAL;DESLIGAMENTO;6
2019;2;OURO PRETO;ESCOLA DE MINAS;ARQUITETURA E URBANISMO-ARQ;BACHARELADO;PRESENCIAL;DESLIGAMENTO;1
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";ARTES CENICAS-ACB;BACHARELADO;PRESENCIAL;DESLIGAMENTO;1
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";ARTES CENICAS-ACL;LICENCIATURA;PRESENCIAL;DESLIGAMENTO;1
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIA DA COMPUTACAO-COM;BACHARELADO;PRESENCIAL;DESLIGAMENTO;11
2019;2;OURO PRETO;ESCOLA DE NUTRICAO;CIENCIA E TECNOLOGIA DE ALIMENTOS-ALI;BACHARELADO;PRESENCIAL;DESLIGAMENTO;3
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBB;BACHARELADO;PRESENCIAL;DESLIGAMENTO;2
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;CIENCIAS ECONOMICAS-ECO;BACHARELADO;PRESENCIAL;DESLIGAMENTO;10
2019;2;OURO PRETO;ESCOLA DE EDUCACAO FISICA;EDUCACAO FISICA-EFB;BACHARELADO;PRESENCIAL;DESLIGAMENTO;2
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA AMBIENTAL-AMB;BACHARELADO;PRESENCIAL;DESLIGAMENTO;3
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA CIVIL-CIV;BACHARELADO;PRESENCIAL;DESLIGAMENTO;1
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE COMPUTACAO-CJM;BACHARELADO;PRESENCIAL;DESLIGAMENTO;8
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;BACHARELADO;PRESENCIAL;DESLIGAMENTO;6
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE PRODUCAO-PJM;BACHARELADO;PRESENCIAL;DESLIGAMENTO;3
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE PRODUCAO-PRO;BACHARELADO;PRESENCIAL;DESLIGAMENTO;2
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA ELETRICA-EJM;BACHARELADO;PRESENCIAL;DESLIGAMENTO;13
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA GEOLOGICA-GEO;BACHARELADO;PRESENCIAL;DESLIGAMENTO;5
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA MECANICA-MEC;BACHARELADO;PRESENCIAL;DESLIGAMENTO;5
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA METALURGICA-MET;BACHARELADO;PRESENCIAL;DESLIGAMENTO;9
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;ESTATISTICA-EST;BACHARELADO;PRESENCIAL;DESLIGAMENTO;6
2019;2;OURO PRETO;ESCOLA DE FARMACIA;FARMACIA-FAR;BACHARELADO;PRESENCIAL;DESLIGAMENTO;8
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";FILOSOFIA-FLB;BACHARELADO;PRESENCIAL;DESLIGAMENTO;1
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";FILOSOFIA-FLL;LICENCIATURA;PRESENCIAL;DESLIGAMENTO;1
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;FISICA-FSB;BACHARELADO;PRESENCIAL;DESLIGAMENTO;2
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;HISTORIA-HIB;BACHARELADO;PRESENCIAL;DESLIGAMENTO;5
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;HISTORIA-HIL;LICENCIATURA;PRESENCIAL;DESLIGAMENTO;4
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;JORNALISMO-JOR;BACHARELADO;PRESENCIAL;DESLIGAMENTO;2
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTL;LICENCIATURA;PRESENCIAL;DESLIGAMENTO;3
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;MATEMATICA-MTB;BACHARELADO;PRESENCIAL;DESLIGAMENTO;4
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;MATEMATICA-MTL;LICENCIATURA;PRESENCIAL;DESLIGAMENTO;1
2019;2;OURO PRETO;ESCOLA DE MEDICINA;MEDICINA-MED;BACHARELADO;PRESENCIAL;DESLIGAMENTO;1
2019;2;OURO PRETO;"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";MUSEOLOGIA-MUL;BACHARELADO;PRESENCIAL;DESLIGAMENTO;5
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";MUSICA-MUS;LICENCIATURA;PRESENCIAL;DESLIGAMENTO;3
2019;2;OURO PRETO;ESCOLA DE NUTRICAO;NUTRICAO-NUT;BACHARELADO;PRESENCIAL;DESLIGAMENTO;5
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;PEDAGOGIA-PED;LICENCIATURA;PRESENCIAL;DESLIGAMENTO;3
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;QUIMICA INDUSTRIAL-QUI;BACHARELADO;PRESENCIAL;DESLIGAMENTO;3
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;QUIMICA-QLI;LICENCIATURA;PRESENCIAL;DESLIGAMENTO;7
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;SERVICO SOCIAL-SER;BACHARELADO;PRESENCIAL;DESLIGAMENTO;4
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;SISTEMAS DE INFORMACAO-SJM;BACHARELADO;PRESENCIAL;DESLIGAMENTO;10
2019;2;OURO PRETO;"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";TURISMO-TUR;BACHARELADO;PRESENCIAL;DESLIGAMENTO;7
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;ADMINISTRACAO-ADM;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIA DA COMPUTACAO-COM;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBL;LICENCIATURA;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;CIENCIAS ECONOMICAS-ECO;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;3
2019;2;OURO PRETO;ESCOLA DE EDUCACAO FISICA;EDUCACAO FISICA-EFB;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2019;2;OURO PRETO;ESCOLA DE EDUCACAO FISICA;EDUCACAO FISICA-EFL;LICENCIATURA;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE MINAS-MIN;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE PRODUCAO-PJM;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA ELETRICA-EJM;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;2
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA GEOLOGICA-GEO;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;3
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA METALURGICA-MET;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2019;2;OURO PRETO;ESCOLA DE FARMACIA;FARMACIA-FAR;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";FILOSOFIA-FLB;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;HISTORIA-HIL;LICENCIATURA;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;JORNALISMO-JOR;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;3
